kpi_metric,value_raw,year_period,source
Orgs using AI in 1+ function (global),88%,2025,McKinsey 2025
Orgs using AI in 1+ function (global),78%,Late 2024,McKinsey Rewiring 2024
Orgs using AI in 1+ function (global),72%,Early 2024,McKinsey Early 2024
Orgs using AI in 1+ function (global),55%,2023,McKinsey 2023
Orgs using AI in 1+ function (global),50%,2022,McKinsey 2022
Orgs using GenAI specifically,79%,2025,McKinsey 2025
Orgs using GenAI specifically,65%,Early 2024,McKinsey Early 2024
Orgs using GenAI specifically,33%,2023,McKinsey 2023
Global corporate AI investment,$252.3 Billion,2024,Stanford AI Index 2025
GenAI-specific private investment,$33.9 Billion,2024,Stanford AI Index 2025
US private AI investment,$109.1 Billion,2024,Stanford AI Index 2025
China private AI investment,$9.3 Billion,2024,Stanford AI Index 2025
UK private AI investment,$4.5 Billion,2024,Stanford AI Index 2025
ChatGPT weekly active users,800 Million+,Mar-Sep 2025,OpenAI / TED 2025
ChatGPT weekly active users,100 Million,Jan 2023,Reuters 2023
ChatGPT monthly site visits,5.6 Billion+,Jul 2025,SimilarWeb
White-collar workers using AI daily,27%,2025,Aristek / Mercer 2025
Industry share of notable AI models,90%,2024,Stanford AI Index 2025
US notable AI models produced,40 models,2024,Stanford AI Index 2025
GenAI inference cost drop,280x cheaper,Nov 2022 to Oct 2024,Stanford AI Index 2025
AI hardware cost annual decline,30% per year,Ongoing,Stanford AI Index 2025
Customer support productivity gain with AI,+14%,Fortune 500 trial,Pew / MIT 2024
Programmers with GitHub Copilot task speed,+55.8%,2023,arXiv Copilot Study 2023
UK SMEs using ChatGPT productivity gain,27% to 133%,2024,University of St Andrews 2024
